tsne1,tsne2,reciter
6.5609074,-5.5162325,Bander_Balilah
2.8721051,11.347809,Bander_Balilah
-2.6669724,-3.080173,Bander_Balilah
-8.83169,-1.7082617,Bander_Balilah
-5.5399942,-4.9064035,Bander_Balilah
-10.66361,0.45861083,Bander_Balilah
-10.626344,3.844786,Bander_Balilah
-10.6624,3.9666348,Bander_Balilah
-2.5971832,9.629051,Bander_Balilah
-1.8744574,9.599033,Bander_Balilah
-8.801145,-1.7510606,Bander_Balilah
6.4521565,-4.6757607,Bander_Balilah
-4.8031225,-6.0006986,Bander_Balilah
-10.438352,2.4953253,Bander_Balilah
6.535236,-5.1980786,Bander_Balilah
-10.788474,0.5935913,Bander_Balilah
6.4735036,-5.6600494,Bander_Balilah
-2.645101,9.473215,Bander_Balilah
3.2999756,11.353156,Bander_Balilah
-10.543783,0.29195195,Bander_Balilah
6.300957,-4.354444,Bander_Balilah
-9.426009,-0.9321845,Bander_Balilah
-8.66244,-1.8378111,Bander_Balilah
-4.777042,-5.920783,Bander_Balilah
6.4002132,-4.5192327,Bander_Balilah
-8.74794,-1.7482243,Bander_Balilah
-2.5312302,-3.0957541,Bander_Balilah
2.8592517,11.344878,Bander_Balilah
-10.625132,3.8202305,Bander_Balilah
-5.6887383,-4.810522,Bander_Balilah
-10.415425,0.24285266,Bander_Balilah
-8.7135935,-1.7950058,Bander_Balilah
-5.4369087,-4.9182506,Bander_Balilah
6.4739785,-4.7135015,Bander_Balilah
3.2188342,11.308411,Bander_Balilah
-8.217304,-2.1257372,Bander_Balilah
6.6233644,-5.9351764,Bander_Balilah
6.27652,-4.275381,Bander_Balilah
6.653775,-6.4445996,Bander_Balilah
-2.6534204,-3.0673246,Bander_Balilah
-2.6688585,9.6417885,Bander_Balilah
-10.660891,3.9747279,Bander_Balilah
-5.710641,-4.835906,Bander_Balilah
6.626462,-5.9831786,Bander_Balilah
-5.82159,-4.6613135,Bander_Balilah
-5.969416,-4.49985,Bander_Balilah
6.3047376,-4.411235,Bander_Balilah
-2.3309908,5.563804,Bander_Balilah
-8.606235,-1.870235,Bander_Balilah
3.5089107,11.317481,Bander_Balilah
6.4664984,-4.714977,Bander_Balilah
-2.5972652,-3.1620827,Bander_Balilah
-8.886902,-0.8963759,Bander_Balilah
6.443375,-4.600766,Bander_Balilah
-2.523642,-3.0276535,Bander_Balilah
6.5393543,-5.2196784,Bander_Balilah
-10.514375,2.2357647,Bander_Balilah
-10.531646,3.8053837,Bander_Balilah
-10.66285,3.971973,Bander_Balilah
-10.619452,0.3482014,Bander_Balilah
-8.998459,-1.3292156,Bander_Balilah
6.410318,-4.5247397,Bander_Balilah
6.4921927,-5.3831573,Bander_Balilah
-10.431147,0.21012859,Bander_Balilah
-10.692805,3.9767,Bander_Balilah
6.5290675,-5.248846,Bander_Balilah
-10.54613,3.7276824,Bander_Balilah
-10.415059,0.15089627,Bander_Balilah
-2.4792838,-3.150845,Bander_Balilah
-10.811179,0.50887,Bander_Balilah
-10.684421,1.823494,Bander_Balilah
6.549153,-5.2254663,Bander_Balilah
-5.678887,-4.7669244,Bander_Balilah
4.1208525,11.198726,Bander_Balilah
-8.664975,-1.7773266,Bander_Balilah
6.4554806,-4.664876,Bander_Balilah
-5.4406853,-4.9205594,Bander_Balilah
-2.523322,-3.087722,Bander_Balilah
-9.499927,-0.8462193,Bander_Balilah
3.1849813,11.291314,Bander_Balilah
-10.563609,3.7460964,Bander_Balilah
3.8734887,10.903851,Bander_Balilah
6.5285153,-5.3877892,Bander_Balilah
-5.7888913,-4.6928377,Bander_Balilah
-2.6658037,-3.0923722,Bander_Balilah
5.6783957,10.200453,Bander_Balilah
6.559986,-5.6045246,Bander_Balilah
